run_id,primitive_id,primitive_name,sem,scope,block_size,dtype,src_rank,dst_rank,buffer_bytes,n_elements,rep_idx,time_ms,bandwidth_gibps,world_size,gpu_arch,hostname,ts_unix
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,0,0.381987,81.8091,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,1,0.376536,82.9934,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,2,0.379141,82.4232,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,3,0.376254,83.0556,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,4,0.380705,82.0846,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,5,0.375213,83.2860,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,6,0.379101,82.4319,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,7,0.374972,83.3396,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,8,0.378620,82.5366,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,9,0.374971,83.3398,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,10,0.377577,82.7646,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,11,0.375653,83.1885,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,12,0.378099,82.6503,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,13,0.376375,83.0289,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,14,0.378419,82.5804,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,15,0.377017,82.8875,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,16,0.378941,82.4667,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,17,0.375493,83.2239,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,18,0.379582,82.3274,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,19,0.375132,83.3040,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,20,0.377698,82.7381,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,21,0.376094,83.0909,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,22,0.378339,82.5979,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,23,0.374772,83.3840,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,4,16777216,4194304,24,0.377738,82.7293,8,gfx942:sramecc+:xnack-,j06u19,1778487697.143
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,5,16777216,4194304,0,0.416867,74.9640,8,gfx942:sramecc+:xnack-,j06u19,1778487697.208
