row_id,timestamp,gpu,dcc_mode,ordering,block,wgp,rep,mean_us,std_us,atomic_gops_s,tcc_dcc_hit,tcc_dcc_miss,tcp_tcc_atomic_req,sq_wait_proxy,status
188,1778532409.5937498,gfx942,dcc_disabled,RELAXED,128,128,12,23.1867,2.0890,0.7066,0,0,16384,2318,ok
189,1778532409.594644,gfx942,dcc_disabled,RELAXED,128,128,13,22.9521,1.5330,0.7138,0,0,16384,2295,ok
190,1778532409.5955386,gfx942,dcc_disabled,RELAXED,128,128,14,23.7740,2.0835,0.6892,0,0,16384,2377,ok
191,1778532409.5964499,gfx942,dcc_disabled,RELAXED,128,128,15,23.3991,1.7821,0.7002,0,0,16384,2339,ok
192,1778532409.5973737,gfx942,dcc_disabled,RELAXED,128,128,16,23.6838,1.9387,0.6918,0,0,16384,2368,ok
193,1778532409.59828,gfx942,dcc_disabled,RELAXED,128,128,17,23.1405,1.6665,0.7080,0,0,16384,2314,ok
194,1778532409.599177,gfx942,dcc_disabled,RELAXED,128,128,18,23.1284,1.6058,0.7084,0,0,16384,2312,ok
195,1778532409.600076,gfx942,dcc_disabled,RELAXED,128,128,19,23.3090,1.8466,0.7029,0,0,16384,2330,ok
196,1778532409.6009834,gfx942,dcc_disabled,RELAXED,128,128,20,23.1926,1.7774,0.7064,0,0,16384,2319,ok
197,1778532409.6019003,gfx942,dcc_disabled,RELAXED,128,128,21,23.5214,2.8931,0.6966,0,0,16384,2352,ok
198,1778532409.6028068,gfx942,dcc_disabled,RELAXED,128,128,22,23.4752,2.0000,0.6979,0,0,16384,2347,ok
199,1778532409.603713,gfx942,dcc_disabled,RELAXED,128,128,23,23.2588,1.7410,0.7044,0,0,16384,2325,ok
200,1778532409.6046033,gfx942,dcc_disabled,RELAXED,128,128,24,23.2627,2.0678,0.7043,0,0,16384,2326,ok
201,1778532409.6055405,gfx942,dcc_disabled,RELAXED,256,16,0,25.0548,3.9205,0.1635,0,0,4096,2505,ok
202,1778532409.631679,gfx942,dcc_disabled,RELAXED,256,16,1,23.8099,2.2184,0.1720,0,0,4096,2380,ok
203,1778532409.632683,gfx942,dcc_disabled,RELAXED,256,16,2,24.2711,1.6081,0.1688,0,0,4096,2427,ok
204,1778532409.6336293,gfx942,dcc_disabled,RELAXED,256,16,3,23.6417,1.6664,0.1733,0,0,4096,2364,ok
205,1778532409.6345444,gfx942,dcc_disabled,RELAXED,256,16,4,23.4653,1.6546,0.1746,0,0,4096,2346,ok
206,1778532409.6354609,gfx942,dcc_disabled,RELAXED,256,16,5,23.9463,2.0009,0.1710,0,0,4096,2394,ok
207,1778532409.636375,gfx942,dcc_disabled,RELAXED,256,16,6,23.8541,1.6478,0.1717,0,0,4096,2385,ok
